codigo_postal,municipio_id,codigo_unidad_poblacional,entidad_singular_nombre,nucleo_nombre
01427,01055,0020601,Pinedo,Pinedo
01427,01055,0021301,Quejo,Quejo
01427,01055,0022801,Quintanilla,Quintanilla
01427,01055,0024901,Tobillas,Tobillas
01427,01055,0026501,Valluerca,Valluerca
01427,09050,0002201,Valpuesta,Valpuesta
01427,09192,0001701,"Arroyo de San Zadornil","Arroyo de San Zadornil"
01427,09192,0002201,"S Millan de S Zadornil","S Millan de S Zadornil"
01427,09192,0003801,"San Zadornil","San Zadornil"
01427,09192,0004301,"Villafria de San Zadornil","Villafria de San Zadornil"
01428,01046,0002201,Anuntzeta/Anucita,Anuntzeta/Anucita
01428,01046,0005601,Artaza/Artatza,Artaza/Artatza
01428,01046,0006901,Barron,Barron
01428,01046,0010801,Escota/Axkoeta,Escota/Axkoeta
01428,01046,0012001,Lasierra,Lasierra
01428,01046,0015401,Morillas,Morillas
01428,01046,0016701,Nuvilla,Nuvilla
01428,01046,0017301,Ormijana,Ormijana
01428,01046,0021301,Subijana-Morillas,Subijana-Morillas
01428,01046,0022801,Tuyo,Tuyo
01428,01046,0025201,Villaluenga,Villaluenga
01428,01055,0013601,Guinea,Guinea
01428,01901,0001701,Montevite/Mandaita,Montevite/Mandaita
01428,01901,0001799,Montevite/Mandaita,*Diseminado*
01428,01901,0003801,Ollávarre/Olabarri,Ollávarre/Olabarri
01430,01020,0020601,"Zuhatzu Kuartango","Zuhatzu Kuartango"
01439,01020,0001701,Anda,Anda
01439,01020,0002201,Andagoia,Andagoia
01439,01020,0003801,Aprikano,Aprikano
01439,01020,0004399,Artxua/Archúa,*Diseminado*
01439,01020,0005699,Arriano,*Diseminado*
01439,01020,0006999,Katadiano,*Diseminado*
01439,01020,0007599,Etxabarri-Kuartango,*Diseminado*
01439,01020,0008199,Guillarte/Gibilloarrate,*Diseminado*
01439,01020,0009499,Iñurrieta,*Diseminado*
01439,01020,0010801,Jokano,Jokano
01439,01020,0011501,Luna,Luna
01439,01020,0012099,Marinda,*Diseminado*
01439,01020,0013601,"Santa Eulalia","Santa Eulalia"
01439,01020,0014101,Sendadiano,Sendadiano
01439,01020,0015499,Tortura,*Diseminado*
01439,01020,0016799,"Uribarri Kuartango",*Diseminado*
01439,01020,0017399,"Urbina de Basabe",*Diseminado*
01439,01020,0018999,"Urbina Eza",*Diseminado*
01439,01020,0019299,Villamanca,*Diseminado*
01440,01054,0007501,Izarra,Izarra
01449,01054,0001701,Abezia,Abezia
01449,01054,0002201,Abornikano,Abornikano
01449,01054,0004301,Beluntza,Beluntza
01449,01054,0005601,Goiuri-Ondona,Goiuri-Ondona
01449,01054,0008101,Larrazkueta,Larrazkueta
01449,01054,0010801,Oiardo,Oiardo
01449,01054,0011501,Untza-Apregindana,Apregindana
01449,01054,0011502,Untza-Apregindana,Untza
01449,01054,0012001,Uzkiano,Uzkiano
01450,01002,0005601,Baranbio,Baranbio
01450,01002,0005699,Baranbio,*Diseminado*
01450,01002,0008101,Lekamaña,Lekamaña
01450,01002,0008199,Lekamaña,*Diseminado*
01450,01002,0009499,Lezama,*Diseminado*
01450,01054,0006901,Inoso,Inoso
01450,01063,0005699,Ziorraga,*Diseminado*
01468,01002,0001701,Aloria,Aloria
01468,01002,0003801,Artomaña,Artomaña
01468,01002,0006901,Delika,Delika
01468,01002,0006999,Delika,*Diseminado*
