codigo_postal,municipio_id,nombre_entidad_singular,year
03540,03014,ALICANTE/ALACANT,2013
03550,03119,"SANT JOAN D'ALACANT",2013
03559,03014,"SANTA FAZ",2013
03560,03050,"VENTA LANUZA",2013
03569,03004,AIGÜES,2013
03570,03139,TORRES,2013
03578,03112,RELLEU,2013
03579,03098,ORCHETA,2013
03579,03124,SELLA,2013
03580,03011,"ALFAS DEL PI (L')",2013
03581,03011,"ALFAS DEL PI (L')",2013
03590,03018,"OLLA (L')",2013
03599,03018,"ALTEA LA VELLA",2013
03600,03066,ELDA,2013
03610,03104,PETRER,2013
03630,03123,SAX,2013
03638,03116,SALINAS,2013
03639,03140,"SANTA EULALIA",2013
03640,03089,"ROMANETA (LA)",2013
03649,03089,XINORLET,2013
03650,03105,RODRIGUILLO,2013
03657,03105,PAREDON,2013
03657,30043,RASPAY,2013
03658,03105,RODRIGUILLO,2013
03658,03116,SALINAS,2013
03659,03105,"CAÑADA DEL TRIGO",2013
03659,30022,"TORRE DEL RICO",2013
03660,03093,NOVELDA,2013
03668,03013,"SOLANA (LA)",2013
03669,03114,"ROMANA (LA)",2013
03670,03088,ORITO,2013
03679,03088,ORITO,2013
03680,03019,ASPE,2013
03688,03077,"REBALSO (EL)",2013
03689,03077,"REBALSO (EL)",2013
03689,03078,"HONDON DE LOS FRAILES",2013
03689,03099,BARBARROJA,2013
03690,03122,"SAN VICENTE DEL RASPEIG/S",2013
03698,03002,AGOST,2013
03699,03014,"ALCORAYA (LA)",2013
03700,03063,DENIA,2013
03709,03063,"XARA (LA)",2013
03710,03047,CALP,2013
03720,03041,FANADIX,2013
03723,03006,"LLOSA DE CAMACHO",2013
03724,03128,TEULADA,2013
03725,03128,TEULADA,2013
03726,03042,"BENITACHELL/POBLE NOU DE",2013
03727,03081,XALÓ,2013
03728,03006,"LLOSA DE CAMACHO",2013
03729,03085,LLIBER,2013
03729,03125,SENIJA,2013
03730,03082,JÁVEA/XÀBIA,2013
03737,03082,JÁVEA/XÀBIA,2013
03738,03082,JÁVEA/XÀBIA,2013
03739,03082,JÁVEA/XÀBIA,2013
03740,03071,"GATA DE GORGOS",2013
03749,03063,"JESUS POBRE",2013
03750,03101,PEDREGUER,2013
03759,03030,BENIDOLEIG,2013
03760,03095,ONDARA,2013
03769,03040,BENIMELI,2013
03769,03110,"RAFOL DE ALMUNIA",2013
03769,03117,"SANET Y NEGRALS",2013
03770,03063,DENIA,2013
03770,03138,"VERGER (EL)",2013
03778,03026,BENIARBEIG,2013
03779,03901,SETLA,2013
03780,03063,DENIA,2013
03780,03102,PEGO,2013
03786,03001,FORNA,2013
03787,03136,"CARROJA (LA)",2013
03788,03134,BENIAYA,2013
03788,03136,ALPATRO,2013
03789,03135,"VALL DE EBO",2013
03790,03097,ORBA,2013
03791,03097,ORBA,2013
03791,03137,FONTILLES,2013
03792,03091,MURLA,2013
03792,03097,ORBA,2013
03792,03100,PARCENT,2013
03793,03054,"CASTELL DE CASTELLS",2013
03794,03029,BENIGEMBLA,2013
03795,03097,ORBA,2013
03795,03115,SAGRA,2013
03795,03131,TORMOS,2013
03800,03009,ALCOY/ALCOI,2013
03801,03009,ALCOY/ALCOI,2013
03802,03009,ALCOY/ALCOI,2013
03803,03009,ALCOY/ALCOI,2013
03804,03009,ALCOY/ALCOI,2013
03810,03035,BENILLOBA,2013
03811,03060,QUATRETONDETA,2013
03811,03073,GORGA,2013
03812,03020,BALONES,2013
03812,03039,BENIMASSOT,2013
03812,03086,MILLENA,2013
03813,03067,FACHECA,2013
03813,03068,FAMORCA,2013
03813,03130,TOLLOS,2013
03814,03008,ALCOLEJA,2013
03814,03022,BENASAU,2013
03815,03103,PENAGUILA,2013
03816,03032,BENIFALLIM,2013
03818,03009,ALCOY/ALCOI,2013
03820,03056,"POBLE NOU DE SANT RAFEL",2013
03827,03016,ALMUDAINA,2013
03827,03036,BENILLUP,2013
03827,03038,BENIMARFULL,2013
03828,03106,PLANES,2013
03829,03017,"ALQUERIA D'ASNAR (L')",2013
03829,03056,ALCUDIA,2013
03830,03092,"MURO DEL ALCOY",2013
03837,03003,AGRES,2013
03838,03010,ALFAFARA,2013
03839,03092,TURBALLOS,2013
03840,03072,GAIANES,2013
03841,03007,"ALCOCER DE PLANES",2013
03850,03028,BENIARRES,2013
03860,03084,"LORCHA/ORXA (L')",2013
04001,04013,ALMERIA,2013
04002,04013,ALMERIA,2013
04003,04013,ALMERIA,2013
04004,04013,ALMERIA,2013
04005,04013,ALMERIA,2013
04006,04013,ALMERIA,2013
04007,04013,ALMERIA,2013
04008,04013,ALMERIA,2013
04009,04013,ALMERIA,2013
04100,04066,NIJAR,2013
04110,04066,"SALADAR Y LECHE",2013
04113,04066,"VISO (EL)",2013
04114,04060,POLOPOS,2013
04114,04066,"VENTA DEL POBRE",2013
04115,04066,RUESCAS,2013
04116,04066,"NEGRAS (LAS)",2013
04117,04066,"NAZARENO (EL)",2013
04118,04066,"ISLETA (LA)",2013
04119,04066,HUEBRO,2013
04120,04013,"LOMA CABRERA",2013
04130,04013,RETAMAR,2013
04131,04013,RETAMAR,2013
04140,04032,"RELLANA DE LA CRUZ (LA)",2013
04147,04066,"SAN ISIDRO DE NIJAR",2013
04149,04032,"VENTORRILLO (EL)",2013
04149,04066,"FERNAN PEREZ",2013
04149,04086,GAFARES,2013
04150,04013,RUESCAS,2013
04151,04066,PUJAIRE,2013
04160,04013,"CUEVAS DE LOS UBEDAS",2013
04188,04066,"SAN JOSE",2013
04200,04088,TABERNAS,2013
04210,04060,"LUCAINENA DE LAS TORRES",2013
04211,04060,"SALTADOR (EL)",2013
04211,04088,"YESOS (LOS)",2013
04211,04094,"VEGA (LA)",2013
04212,04033,"CASTRO DE FILABRES",2013
04212,04068,"TALLON BAJO (EL)",2013
04212,04097,VELEFIQUE,2013
04213,04082,SENES,2013
04230,04052,"FUENSANTA (LA)-VILLA INES",2013
04240,04101,VIATOR,2013
04248,04086,"ANDRESES (LOS)",2013
04250,04074,"SIERRA ALHAMILLA",2013
04259,04074,"SIERRA ALHAMILLA",2013
04260,04078,RIOJA,2013
04270,04086,GARRIDO,2013
04271,04059,"SAETI (EL)",2013
04271,04086,"RISAS (LOS)",2013
04274,04027,"FUENTE DE LA HIGUERA (LA)",2013
04274,04095,"RINCON (EL)",2013
04275,04090,TAHAL,2013
04275,04092,"POZO DEL LOBO",2013
04276,04009,"ALCUDIA DE MONTEAGUD",2013
04276,04026,BENITAGLA,2013
04276,04027,"SANTUARIO MONTEAGUD (EL)",2013
04277,04086,VARGUICAS,2013
04278,04086,"MARTINEZ (LOS)",2013
04279,04086,"HERRERIA (LA)",2013
04279,04090,"RAMBLA DEL MARQUES",2013
04279,04095,ZOFRE,2013
04280,04048,"GALLARDOS (LOS)",2013
04288,04022,"PINAR (EL)",2013
04288,04048,"PERULACA (LA)",2013
04289,04022,"GILES (LOS)",2013
04289,04048,"GALLARDOS (LOS)",2013
04289,04086,"HUELGA (LA)",2013
04400,04011,"ALHAMA DE ALMERIA",2013
04409,04012,ALICUN,2013
04409,04051,HUECIJA,2013
04410,04024,BENAHADUX,2013
04420,04081,"SANTA FE DE MONDUJAR",2013
